id,name,air_date,episode_code,character_id,character_no
1,Pilot,"December 2, 2013",S01E01,1,19
1,Pilot,"December 2, 2013",S01E01,2,19
1,Pilot,"December 2, 2013",S01E01,35,19
1,Pilot,"December 2, 2013",S01E01,38,19
1,Pilot,"December 2, 2013",S01E01,62,19
1,Pilot,"December 2, 2013",S01E01,92,19
1,Pilot,"December 2, 2013",S01E01,127,19
1,Pilot,"December 2, 2013",S01E01,144,19
1,Pilot,"December 2, 2013",S01E01,158,19
1,Pilot,"December 2, 2013",S01E01,175,19
1,Pilot,"December 2, 2013",S01E01,179,19
1,Pilot,"December 2, 2013",S01E01,181,19
1,Pilot,"December 2, 2013",S01E01,239,19
1,Pilot,"December 2, 2013",S01E01,249,19
1,Pilot,"December 2, 2013",S01E01,271,19
1,Pilot,"December 2, 2013",S01E01,338,19
1,Pilot,"December 2, 2013",S01E01,394,19
1,Pilot,"December 2, 2013",S01E01,395,19
1,Pilot,"December 2, 2013",S01E01,435,19
2,Lawnmower Dog,"December 9, 2013",S01E02,1,19
2,Lawnmower Dog,"December 9, 2013",S01E02,2,19
2,Lawnmower Dog,"December 9, 2013",S01E02,38,19
2,Lawnmower Dog,"December 9, 2013",S01E02,46,19
2,Lawnmower Dog,"December 9, 2013",S01E02,63,19
2,Lawnmower Dog,"December 9, 2013",S01E02,80,19
2,Lawnmower Dog,"December 9, 2013",S01E02,175,19
2,Lawnmower Dog,"December 9, 2013",S01E02,221,19
2,Lawnmower Dog,"December 9, 2013",S01E02,239,19
2,Lawnmower Dog,"December 9, 2013",S01E02,246,19
2,Lawnmower Dog,"December 9, 2013",S01E02,304,19
